Successful to build network!
load pretrained model successful!
STN loaded
Epoch:1 || epochiter: 0/2996|| Totel iter 0 || Loss: 22.5836||Batch time: 0.3922 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 20/2996|| Totel iter 20 || Loss: 7.1381||Batch time: 0.0515 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 40/2996|| Totel iter 40 || Loss: 5.0264||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 60/2996|| Totel iter 60 || Loss: 3.7869||Batch time: 0.0519 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 80/2996|| Totel iter 80 || Loss: 3.0669||Batch time: 0.0517 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 100/2996|| Totel iter 100 || Loss: 2.3311||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 120/2996|| Totel iter 120 || Loss: 1.9121||Batch time: 0.0518 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 140/2996|| Totel iter 140 || Loss: 1.6658||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 160/2996|| Totel iter 160 || Loss: 1.4495||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 180/2996|| Totel iter 180 || Loss: 1.3917||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 200/2996|| Totel iter 200 || Loss: 1.1185||Batch time: 0.0515 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 220/2996|| Totel iter 220 || Loss: 0.9234||Batch time: 0.0517 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 240/2996|| Totel iter 240 || Loss: 1.0390||Batch time: 0.0533 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 260/2996|| Totel iter 260 || Loss: 0.9349||Batch time: 0.0515 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 280/2996|| Totel iter 280 || Loss: 0.7962||Batch time: 0.0518 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 300/2996|| Totel iter 300 || Loss: 0.7546||Batch time: 0.0515 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 320/2996|| Totel iter 320 || Loss: 0.8064||Batch time: 0.0531 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 340/2996|| Totel iter 340 || Loss: 0.6181||Batch time: 0.0531 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 360/2996|| Totel iter 360 || Loss: 0.6365||Batch time: 0.0532 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 380/2996|| Totel iter 380 || Loss: 0.5728||Batch time: 0.0536 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 400/2996|| Totel iter 400 || Loss: 0.6170||Batch time: 0.0518 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 420/2996|| Totel iter 420 || Loss: 0.5187||Batch time: 0.0518 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 440/2996|| Totel iter 440 || Loss: 0.5739||Batch time: 0.0515 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 460/2996|| Totel iter 460 || Loss: 0.5288||Batch time: 0.0541 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 480/2996|| Totel iter 480 || Loss: 0.5098||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 500/2996|| Totel iter 500 || Loss: 0.5094||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 520/2996|| Totel iter 520 || Loss: 0.4526||Batch time: 0.0515 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 540/2996|| Totel iter 540 || Loss: 0.5032||Batch time: 0.0518 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 560/2996|| Totel iter 560 || Loss: 0.4066||Batch time: 0.0515 sec. ||LR: 0.00010000
