Successful to build network!
load pretrained model successful!
STN loaded
Epoch:1 || epochiter: 0/2803|| Totel iter 0 || Loss: 22.9859||Batch time: 0.4280 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 20/2803|| Totel iter 20 || Loss: 7.0029||Batch time: 0.0517 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 40/2803|| Totel iter 40 || Loss: 5.0827||Batch time: 0.0523 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 60/2803|| Totel iter 60 || Loss: 3.8151||Batch time: 0.0570 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 80/2803|| Totel iter 80 || Loss: 3.0436||Batch time: 0.0516 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 100/2803|| Totel iter 100 || Loss: 2.3214||Batch time: 0.0518 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 120/2803|| Totel iter 120 || Loss: 1.9252||Batch time: 0.0541 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 140/2803|| Totel iter 140 || Loss: 1.6038||Batch time: 0.0515 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 160/2803|| Totel iter 160 || Loss: 1.4743||Batch time: 0.0528 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 180/2803|| Totel iter 180 || Loss: 1.2095||Batch time: 0.0518 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 200/2803|| Totel iter 200 || Loss: 1.0138||Batch time: 0.0521 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 220/2803|| Totel iter 220 || Loss: 1.0269||Batch time: 0.0517 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 240/2803|| Totel iter 240 || Loss: 0.9605||Batch time: 0.0556 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 260/2803|| Totel iter 260 || Loss: 0.8075||Batch time: 0.0519 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 280/2803|| Totel iter 280 || Loss: 0.6780||Batch time: 0.0517 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 300/2803|| Totel iter 300 || Loss: 0.9766||Batch time: 0.0593 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 320/2803|| Totel iter 320 || Loss: 0.7852||Batch time: 0.0518 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 340/2803|| Totel iter 340 || Loss: 0.7649||Batch time: 0.0533 sec. ||LR: 0.00010000
